n_features,features,train_rmse,test_mae,test_rmse,test_r2,intercept,coefficients_json
6,feat_poverty_rate|feat_total_population|feat_unemployment_rate|max_temp_celsius|overall_homeless|unsheltered_homeless,172.57485091732153,133.98112187956278,183.12847908008078,0.07085843424794935,4661.578952603619,"{""feat_poverty_rate"":-1156.071894828834,""feat_total_population"":-0.00012332395963565327,""feat_unemployment_rate"":25678.899512944776,""max_temp_celsius"":11.608371722183874,""overall_homeless"":-0.0008231478068927472,""unsheltered_homeless"":0.0010593987009024466}"
5,feat_poverty_rate|feat_total_population|feat_unemployment_rate|max_temp_celsius|overall_homeless,172.78184765252186,134.0968640830244,183.56336922222556,0.06644017768854216,4699.324537260565,"{""feat_poverty_rate"":-1119.3766330754443,""feat_total_population"":-0.0001240441004185883,""feat_unemployment_rate"":25368.514053621293,""max_temp_celsius"":11.603071976974931,""overall_homeless"":-6.951414603110726e-05}"
7,feat_median_hh_income|feat_poverty_rate|feat_total_population|feat_unemployment_rate|max_temp_celsius|overall_homeless|unsheltered_homeless,172.57341997170596,134.2426242851869,183.67368741889817,0.06531773606356461,4431.506824887772,"{""feat_median_hh_income"":-0.0002797107265508085,""feat_poverty_rate"":-993.7332489606654,""feat_total_population"":-0.00011872015347289542,""feat_unemployment_rate"":25622.579190491007,""max_temp_celsius"":11.608251261630885,""overall_homeless"":-0.000822446835338024,""unsheltered_homeless"":0.0010584646886157652}"
6,feat_median_hh_income|feat_poverty_rate|feat_total_population|feat_unemployment_rate|max_temp_celsius|unsheltered_homeless,172.81317582060834,133.81714446021627,183.68040365366284,0.06524937939935282,4460.962242566903,"{""feat_median_hh_income"":-0.0003196820676432808,""feat_poverty_rate"":-942.7977665091497,""feat_total_population"":-0.00011936222972797515,""feat_unemployment_rate"":25360.13713081677,""max_temp_celsius"":11.604366565344609,""unsheltered_homeless"":-6.615776365561677e-05}"
6,feat_median_hh_income|feat_poverty_rate|feat_total_population|feat_unemployment_rate|max_temp_celsius|overall_homeless,172.78003057084229,134.4275102477514,184.18112873823327,0.0601460472391524,4439.883852311238,"{""feat_median_hh_income"":-0.00031537002486691044,""feat_poverty_rate"":-936.3785057989468,""feat_total_population"":-0.00011885265637348583,""feat_unemployment_rate"":25305.322219105536,""max_temp_celsius"":11.602941427002643,""overall_homeless"":-6.947294595891156e-05}"
1,feat_median_hh_income,201.5450831770006,136.71606690819002,189.4799298777033,0.005289865810675476,69.95910562939784,"{""feat_median_hh_income"":0.0007454731807646771}"
2,feat_median_hh_income|feat_total_population,201.5334809777874,136.71357243770305,189.54019355584538,0.004657034417069994,-865.567639169904,"{""feat_median_hh_income"":0.00025218061462771484,""feat_total_population"":1.9107134573474606e-05}"
1,feat_total_population,201.53584628356094,136.7526197410976,189.61057150375044,0.003917737920710596,-1234.2555017550037,"{""feat_total_population"":2.672661671723584e-05}"
2,feat_median_hh_income|unsheltered_homeless,201.49682944255386,136.90379927078533,189.8153593260997,0.0017649499995114892,72.2379879444774,"{""feat_median_hh_income"":0.0007635539496104656,""unsheltered_homeless"":-9.119856534020553e-05}"
3,feat_median_hh_income|feat_total_population|unsheltered_homeless,201.48480149234638,136.8971992780833,189.88300637329476,0.0010533143695281577,-880.2116163659721,"{""feat_median_hh_income"":0.0002614126181518601,""feat_total_population"":1.9452971240129276e-05,""unsheltered_homeless"":-9.160090328500515e-05}"
