max_depth,min_samples_leaf,min_samples_split,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,r2_gap_train_minus_test,rmse_ratio_test_over_train
None,8,12,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
5,4,12,61.92761813864176,150.74410736832613,97.22055798597343,215.95334019727096,0.8153135281816389,0.6013495282004426,0.2139639999811963,2.2212723797412046
6,4,12,61.92761813864176,150.74410736832613,97.22055798597343,215.95334019727096,0.8153135281816389,0.6013495282004426,0.2139639999811963,2.2212723797412046
8,4,12,61.92761813864176,150.74410736832613,97.22055798597343,215.95334019727096,0.8153135281816389,0.6013495282004426,0.2139639999811963,2.2212723797412046
10,4,12,61.92761813864176,150.74410736832613,97.22055798597343,215.95334019727096,0.8153135281816389,0.6013495282004426,0.2139639999811963,2.2212723797412046
12,4,12,61.92761813864176,150.74410736832613,97.22055798597343,215.95334019727096,0.8153135281816389,0.6013495282004426,0.2139639999811963,2.2212723797412046
None,4,12,61.92761813864176,150.74410736832613,97.22055798597343,215.95334019727096,0.8153135281816389,0.6013495282004426,0.2139639999811963,2.2212723797412046
4,1,2,56.23226755746441,155.1399779040404,82.02982838195422,216.0733860763495,0.8685191593978817,0.6009061949537902,0.26761296444409155,2.6340831175490256
4,1,4,56.23226755746441,155.1399779040404,82.02982838195422,216.0733860763495,0.8685191593978817,0.6009061949537902,0.26761296444409155,2.6340831175490256
4,1,6,56.23226755746441,155.1399779040404,82.02982838195422,216.0733860763495,0.8685191593978817,0.6009061949537902,0.26761296444409155,2.6340831175490256
4,1,8,56.23226755746441,155.1399779040404,82.02982838195422,216.0733860763495,0.8685191593978817,0.6009061949537902,0.26761296444409155,2.6340831175490256
4,2,2,56.23226755746441,155.1399779040404,82.02982838195422,216.0733860763495,0.8685191593978817,0.6009061949537902,0.26761296444409155,2.6340831175490256
4,2,4,56.23226755746441,155.1399779040404,82.02982838195422,216.0733860763495,0.8685191593978817,0.6009061949537902,0.26761296444409155,2.6340831175490256
4,2,6,56.23226755746441,155.1399779040404,82.02982838195422,216.0733860763495,0.8685191593978817,0.6009061949537902,0.26761296444409155,2.6340831175490256
4,2,8,56.23226755746441,155.1399779040404,82.02982838195422,216.0733860763495,0.8685191593978817,0.6009061949537902,0.26761296444409155,2.6340831175490256
4,4,2,57.992447534967226,155.15738861832614,83.34951245095968,216.09189687784337,0.8642546399754492,0.6008378120513067,0.26341682792414245,2.5925994108842003
4,4,4,57.992447534967226,155.15738861832614,83.34951245095968,216.09189687784337,0.8642546399754492,0.6008378120513067,0.26341682792414245,2.5925994108842003
4,4,6,57.992447534967226,155.15738861832614,83.34951245095968,216.09189687784337,0.8642546399754492,0.6008378120513067,0.26341682792414245,2.5925994108842003
4,4,8,57.992447534967226,155.15738861832614,83.34951245095968,216.09189687784337,0.8642546399754492,0.6008378120513067,0.26341682792414245,2.5925994108842003
5,2,12,60.167438161138946,150.7266966540404,94.73114478151817,216.28625794888225,0.8246505381820297,0.600119446565418,0.22453109161661167,2.2831589172463924
6,2,12,60.167438161138946,150.7266966540404,94.73114478151817,216.28625794888225,0.8246505381820297,0.600119446565418,0.22453109161661167,2.2831589172463924
8,2,12,60.167438161138946,150.7266966540404,94.73114478151817,216.28625794888225,0.8246505381820297,0.600119446565418,0.22453109161661167,2.2831589172463924
10,2,12,60.167438161138946,150.7266966540404,94.73114478151817,216.28625794888225,0.8246505381820297,0.600119446565418,0.22453109161661167,2.2831589172463924
12,2,12,60.167438161138946,150.7266966540404,94.73114478151817,216.28625794888225,0.8246505381820297,0.600119446565418,0.22453109161661167,2.2831589172463924
None,2,12,60.167438161138946,150.7266966540404,94.73114478151817,216.28625794888225,0.8246505381820297,0.600119446565418,0.22453109161661167,2.2831589172463924
5,1,12,59.39292133937803,150.7266966540404,94.39190580664334,216.71062281235896,0.8259041673054421,0.5985487343664431,0.22735543293899907,2.2958602325106017
6,1,12,59.39292133937803,150.7266966540404,94.39190580664334,216.71062281235896,0.8259041673054421,0.5985487343664431,0.22735543293899907,2.2958602325106017
8,1,12,59.39292133937803,150.7266966540404,94.39190580664334,216.71062281235896,0.8259041673054421,0.5985487343664431,0.22735543293899907,2.2958602325106017
10,1,12,59.39292133937803,150.7266966540404,94.39190580664334,216.71062281235896,0.8259041673054421,0.5985487343664431,0.22735543293899907,2.2958602325106017
12,1,12,59.39292133937803,150.7266966540404,94.39190580664334,216.71062281235896,0.8259041673054421,0.5985487343664431,0.22735543293899907,2.2958602325106017
None,1,12,59.39292133937803,150.7266966540404,94.39190580664334,216.71062281235896,0.8259041673054421,0.5985487343664431,0.22735543293899907,2.2958602325106017
4,1,12,62.29132267557465,149.4329466540404,99.21639848646407,217.0420863623699,0.8076528380809938,0.5973197385383657,0.21033309954262802,2.1875626375611747
4,2,12,62.29132267557465,149.4329466540404,99.21639848646407,217.0420863623699,0.8076528380809938,0.5973197385383657,0.21033309954262802,2.1875626375611747
4,4,12,64.05150265307745,149.45035736832614,100.31022983756269,217.060514553651,0.8033883186585612,0.5972513556358823,0.20613696302267892,2.1638921065692682
5,6,2,65.52942018611309,149.2176057449495,101.06108317060216,217.5034165533825,0.8004339031058058,0.5956060986292591,0.2048278044765467,2.1521975594325755
5,6,4,65.52942018611309,149.2176057449495,101.06108317060216,217.5034165533825,0.8004339031058058,0.5956060986292591,0.2048278044765467,2.1521975594325755
5,6,6,65.52942018611309,149.2176057449495,101.06108317060216,217.5034165533825,0.8004339031058058,0.5956060986292591,0.2048278044765467,2.1521975594325755
5,6,8,65.52942018611309,149.2176057449495,101.06108317060216,217.5034165533825,0.8004339031058058,0.5956060986292591,0.2048278044765467,2.1521975594325755
5,6,12,65.52942018611309,149.2176057449495,101.06108317060216,217.5034165533825,0.8004339031058058,0.5956060986292591,0.2048278044765467,2.1521975594325755
6,6,2,65.52942018611309,149.2176057449495,101.06108317060216,217.5034165533825,0.8004339031058058,0.5956060986292591,0.2048278044765467,2.1521975594325755
6,6,4,65.52942018611309,149.2176057449495,101.06108317060216,217.5034165533825,0.8004339031058058,0.5956060986292591,0.2048278044765467,2.1521975594325755
6,6,6,65.52942018611309,149.2176057449495,101.06108317060216,217.5034165533825,0.8004339031058058,0.5956060986292591,0.2048278044765467,2.1521975594325755
6,6,8,65.52942018611309,149.2176057449495,101.06108317060216,217.5034165533825,0.8004339031058058,0.5956060986292591,0.2048278044765467,2.1521975594325755
6,6,12,65.52942018611309,149.2176057449495,101.06108317060216,217.5034165533825,0.8004339031058058,0.5956060986292591,0.2048278044765467,2.1521975594325755
8,6,2,65.52942018611309,149.2176057449495,101.06108317060216,217.5034165533825,0.8004339031058058,0.5956060986292591,0.2048278044765467,2.1521975594325755
8,6,4,65.52942018611309,149.2176057449495,101.06108317060216,217.5034165533825,0.8004339031058058,0.5956060986292591,0.2048278044765467,2.1521975594325755
8,6,6,65.52942018611309,149.2176057449495,101.06108317060216,217.5034165533825,0.8004339031058058,0.5956060986292591,0.2048278044765467,2.1521975594325755
8,6,8,65.52942018611309,149.2176057449495,101.06108317060216,217.5034165533825,0.8004339031058058,0.5956060986292591,0.2048278044765467,2.1521975594325755
