hri_value,max_temp_celsius,min_temp_celsius,feat_poverty_rate,feat_unemployment_rate,feat_median_hh_income,feat_total_population,overall_homeless,unsheltered_homeless
7,25.6,-1,0.122209383,0.062661603,82736.5,51083792,69137,31698
12,29.4,-2.1,0.122209383,0.062661603,82736.5,51083792,69137,31698
11,26.7,-3.8,0.122209383,0.062661603,82736.5,51083792,69137,31698
10,25.6,-6,0.122209383,0.062661603,82736.5,51083792,69137,31698
16,26.1,-6,0.122209383,0.062661603,82736.5,51083792,69137,31698
18,31.1,-0.5,0.122209383,0.062661603,82736.5,51083792,69137,31698
21,29.4,10,0.122209383,0.062661603,82736.5,51083792,69137,31698
17,28.3,3.9,0.122209383,0.062661603,82736.5,51083792,69137,31698
15,30,-0.5,0.122209383,0.062661603,82736.5,51083792,69137,31698
31,30.6,1.7,0.122209383,0.062661603,82736.5,51083792,69137,31698
26,32.2,3.9,0.122209383,0.062661603,82736.5,51083792,69137,31698
30,34.4,6.1,0.122209383,0.062661603,82736.5,51083792,69137,31698
107,36.1,8.3,0.122209383,0.062661603,82736.5,51083792,69137,31698
69,33.9,11.7,0.122209383,0.062661603,82736.5,51083792,69137,31698
44,30.6,6.1,0.120613729,0.062331384,86771,51097595,75124,33971
35,29.4,5,0.120613729,0.062331384,86771,51097595,75124,33971
59,31.7,4.4,0.120613729,0.062331384,86771,51097595,75124,33971
35,30.6,1.7,0.120613729,0.062331384,86771,51097595,75124,33971
29,31.1,-6.6,0.120613729,0.062331384,86771,51097595,75124,33971
14,25,-5.5,0.120613729,0.062331384,86771,51097595,75124,33971
25,30,-1.6,0.120613729,0.062331384,86771,51097595,75124,33971
33,30,3.9,0.120613729,0.062331384,86771,51097595,75124,33971
26,30,1.1,0.120613729,0.062331384,86771,51097595,75124,33971
14,28.3,-4.9,0.120613729,0.062331384,86771,51097595,75124,33971
10,26.7,-0.5,0.120613729,0.062331384,86771,51097595,75124,33971
19,27.8,-8.2,0.120613729,0.062331384,86771,51097595,75124,33971
8,22.8,-3.8,0.120613729,0.062331384,86771,51097595,75124,33971
8,25.6,-6,0.120613729,0.062331384,86771,51097595,75124,33971
11,24.4,-3.2,0.120613729,0.062331384,86771,51097595,75124,33971
8,38.9,-19.3,0.120613729,0.062331384,86771,51097595,75124,33971
336,37.8,16.1,0.120613729,0.062331384,86771,51097595,75124,33971
460,36.7,17.2,0.120613729,0.062331384,86771,51097595,75124,33971
429,37.2,17.2,0.120613729,0.062331384,86771,51097595,75124,33971
344,35.6,16.7,0.120613729,0.062331384,86771,51097595,75124,33971
418,36.1,17.8,0.120613729,0.062331384,86771,51097595,75124,33971
423,37.2,16.7,0.120613729,0.062331384,86771,51097595,75124,33971
126,33.3,13.3,0.120613729,0.062331384,86771,51097595,75124,33971
149,34.4,10.6,0.120613729,0.062331384,86771,51097595,75124,33971
119,35,10,0.120613729,0.062331384,86771,51097595,75124,33971
97,34.4,10.6,0.120613729,0.062331384,86771,51097595,75124,33971
59,31.1,10,0.120613729,0.062331384,86771,51097595,75124,33971
94,35,10.6,0.120613729,0.062331384,86771,51097595,75124,33971
88,32.8,11.1,0.120613729,0.062331384,86771,51097595,75124,33971
