target_hri_rate,feat_mean_tmax_c_week,feat_max_tmax_c_week,feat_temp_range_c_week,feat_heat_intensity,feat_poverty_rate,feat_unemployment_rate,feat_median_hh_income,feat_total_population,record_year,region_label
58.0,26.967857142857145,28.875,3.9250000000000007,1.9071428571428548,0.1348749696830893,0.0599304887778276,68955.0,50728272,2019,Region 9
29.0,26.146428571428572,28.15,3.0,2.0035714285714263,0.1348749696830893,0.0599304887778276,68955.0,50728272,2019,Region 9
37.0,28.178571428571427,30.85,6.125,2.6714285714285744,0.1348749696830893,0.0599304887778276,68955.0,50728272,2019,Region 9
18.0,24.86785714285714,28.525,5.349999999999998,3.6571428571428584,0.1348749696830893,0.0599304887778276,68955.0,50728272,2019,Region 9
64.0,28.114285714285717,30.725,6.575000000000003,2.610714285714284,0.1348749696830893,0.0599304887778276,68955.0,50728272,2019,Region 9
188.0,31.685714285714287,33.05,3.474999999999998,1.3642857142857103,0.1348749696830893,0.0599304887778276,68955.0,50728272,2019,Region 9
448.0,34.66428571428572,36.35,4.050000000000004,1.6857142857142833,0.1348749696830893,0.0599304887778276,68955.0,50728272,2019,Region 9
189.0,32.34285714285714,33.6,3.075000000000003,1.2571428571428598,0.1348749696830893,0.0599304887778276,68955.0,50728272,2019,Region 9
190.0,33.06071428571429,35.5,3.75,2.4392857142857096,0.1348749696830893,0.0599304887778276,68955.0,50728272,2019,Region 9
277.0,34.285714285714285,35.375,2.25,1.0892857142857153,0.1348749696830893,0.0599304887778276,68955.0,50728272,2019,Region 9
285.0,35.142857142857146,37.075,4.325000000000003,1.932142857142857,0.1348749696830893,0.0599304887778276,68955.0,50728272,2019,Region 9
366.0,35.625,37.4,3.299999999999997,1.7749999999999986,0.1348749696830893,0.0599304887778276,68955.0,50728272,2019,Region 9
456.0,36.135714285714286,37.375,2.3500000000000014,1.239285714285714,0.1348749696830893,0.0599304887778276,68955.0,50728272,2019,Region 9
456.0,35.67142857142857,37.15,5.274999999999999,1.4785714285714278,0.1348749696830893,0.0599304887778276,68955.0,50728272,2019,Region 9
320.0,35.625,38.075,4.000000000000007,2.450000000000003,0.1348749696830893,0.0599304887778276,68955.0,50728272,2019,Region 9
333.0,36.01428571428571,37.425,3.0749999999999957,1.4107142857142847,0.1348749696830893,0.0599304887778276,68955.0,50728272,2019,Region 9
279.0,35.68571428571429,37.75,3.1499999999999986,2.0642857142857096,0.1348749696830893,0.0599304887778276,68955.0,50728272,2019,Region 9
344.0,36.57857142857143,37.075,1.4500000000000028,0.4964285714285736,0.1348749696830893,0.0599304887778276,68955.0,50728272,2019,Region 9
334.0,36.68928571428571,37.7,1.625,1.0107142857142932,0.1348749696830893,0.0599304887778276,68955.0,50728272,2019,Region 9
139.0,33.32142857142857,35.475,4.200000000000003,2.153571428571432,0.1348749696830893,0.0599304887778276,68955.0,50728272,2019,Region 9
65.0,32.15357142857143,34.575,4.700000000000003,2.421428571428571,0.1348749696830893,0.0599304887778276,68955.0,50728272,2019,Region 9
46.0,30.103571428571428,32.875,4.600000000000001,2.771428571428572,0.1348749696830893,0.0599304887778276,68955.0,50728272,2019,Region 9
24.0,28.521428571428572,30.3,3.625,1.7785714285714285,0.1348749696830893,0.0599304887778276,68955.0,50728272,2019,Region 9
197.0,32.3,32.95,1.9750000000000016,0.6500000000000057,0.1271430608272287,0.0611543060091973,71354.25,50970442,2020,Region 9
178.0,32.875,35.225,4.675000000000004,2.3500000000000014,0.1271430608272287,0.0611543060091973,71354.25,50970442,2020,Region 9
90.0,30.075,32.075,3.700000000000003,2.0000000000000036,0.1271430608272287,0.0611543060091973,71354.25,50970442,2020,Region 9
65.0,29.075,32.525,6.324999999999999,3.4499999999999993,0.1271430608272287,0.0611543060091973,71354.25,50970442,2020,Region 9
366.0,33.346428571428575,34.975,4.625,1.6285714285714263,0.1271430608272287,0.0611543060091973,71354.25,50970442,2020,Region 9
311.0,34.07142857142857,37.25,8.225000000000001,3.1785714285714306,0.1271430608272287,0.0611543060091973,71354.25,50970442,2020,Region 9
149.0,32.75,35.975,6.149999999999999,3.2250000000000014,0.1271430608272287,0.0611543060091973,71354.25,50970442,2020,Region 9
200.0,32.59285714285714,33.975,2.2250000000000014,1.3821428571428598,0.1271430608272287,0.0611543060091973,71354.25,50970442,2020,Region 9
372.0,35.05,35.625,1.375,0.5750000000000028,0.1271430608272287,0.0611543060091973,71354.25,50970442,2020,Region 9
176.0,33.135714285714286,35.975,5.450000000000003,2.8392857142857153,0.1271430608272287,0.0611543060091973,71354.25,50970442,2020,Region 9
486.0,36.871428571428574,38.65,3.1499999999999986,1.778571428571425,0.1271430608272287,0.0611543060091973,71354.25,50970442,2020,Region 9
